Gene	Expression
MgIM767.14G093700	394.27569775504304
MgIM767.09G080000	393.7938327301987
MgIM767.12G013900	391.2571911487093
MgIM767.02G165700	390.0694986437758
MgIM767.01G107700	387.82394778067686
MgIM767.04G058200	384.737988563028
MgIM767.08G169300	384.1437125015458
MgIM767.12G091100	384.0850145891416
MgIM767.08G077900	383.85273730563983
MgIM767.04G131700	382.94808494092666
MgIM767.05G006300	381.821007070096
MgIM767.14G164200	381.04347635909926
MgIM767.08G210200	380.8581117998871
MgIM767.09G101600	380.5693208089796
MgIM767.12G146200	380.2249622881969
MgIM767.06G015300	373.8059927689643
MgIM767.03G120200	368.4494554161831
MgIM767.14G156400	368.0897171889534
MgIM767.14G094700	368.0214901355278
MgIM767.03G106200	366.7916520495986
MgIM767.11G003300	364.8910182668532
MgIM767.03G099700	363.8961744002261
MgIM767.01G101300	363.2806543396524
MgIM767.14G089600	361.7439419014997
MgIM767.08G071500	360.11443263808934
MgIM767.06G162600	359.5532489413305
MgIM767.13G147500	355.6241706203651
MgIM767.14G157000	354.71227899105946
MgIM767.10G148600	353.9534818850605
MgIM767.02G168200	353.8650031931589
MgIM767.07G076900	353.74536247153287
MgIM767.04G013800	353.5643491602219
MgIM767.11G098900	353.42661067522965
MgIM767.11G043900	351.4458016211827
MgIM767.04G212600	350.8547331680018
MgIM767.12G120200	350.6788252616818
MgIM767.05G002300	350.4001545071679
MgIM767.06G106800	350.2064506674198
MgIM767.13G176900	347.91392063751675
MgIM767.10G130000	347.7859693512433
MgIM767.08G030500	347.07673839998785
MgIM767.07G054700	346.7400319734658
MgIM767.02G002100	346.0881499751948
MgIM767.05G128300	345.15549614322583
MgIM767.01G030700	345.01428044207734
MgIM767.07G006500	344.9133895561156
MgIM767.10G051900	344.1313395484586
MgIM767.08G029400	343.11092475545075
MgIM767.06G034600	342.8363947629657
MgIM767.09G007100	342.6786548977534
MgIM767.10G147700	342.5018312298573
MgIM767.08G148400	341.6691600010551
MgIM767.03G083800	341.1474116024005
MgIM767.07G086000	341.11947001367804
MgIM767.12G150300	340.3746199785254
MgIM767.11G008300	339.8959031372684
MgIM767.11G124900	338.31427343807167
MgIM767.07G031800	338.10240611087
MgIM767.07G039000	337.9508140909605
MgIM767.04G021600	336.8283312902185
MgIM767.14G209500	336.0764676287958
MgIM767.10G061900	335.6047539827978
MgIM767.06G069300	333.55922162554685
MgIM767.13G099400	332.9834451655318
MgIM767.13G087300	332.9153350143012
MgIM767.07G023100	332.8851745932104
MgIM767.06G109100	332.4646277756591
MgIM767.03G024800	330.8198278765681
MgIM767.13G191900	330.4244150991244
MgIM767.09G054100	330.09532734149303
MgIM767.08G098100	329.5614294573998
MgIM767.03G067600	329.4829987552378
MgIM767.06G196100	327.8460070776079
MgIM767.06G092300	326.9934826411028
MgIM767.14G117900	325.63746879289624
MgIM767.14G071700	325.2652761982171
MgIM767.02G064700	324.898438345347
MgIM767.11G122700	323.11535569841647
MgIM767.14G183500	322.0221368557534
MgIM767.01G010400	321.0509349364737
MgIM767.06G059800	319.9908352482406
MgIM767.03G087200	318.8324274349052
MgIM767.02G017000	318.4226329286771
MgIM767.02G076100	316.56350945560683
MgIM767.08G171700	316.5261092626735
MgIM767.11G046700	316.47777287577463
MgIM767.12G024000	316.47430073103567
MgIM767.04G218600	316.4686823722517
MgIM767.03G045100	315.9708716561707
MgIM767.11G065800	315.77234880756765
MgIM767.05G058000	314.4592121749649
MgIM767.11G068600	314.11130884727976
MgIM767.04G079300	314.0480583706316
MgIM767.09G120900	313.5176218616604
MgIM767.08G176300	311.658223662312
MgIM767.06G028200	310.86458806997405
MgIM767.02G067700	310.09901621589745
MgIM767.13G135800	309.3839315591337
MgIM767.04G190900	309.16759852844103
MgIM767.08G120600	308.8121182282834
