n,k,count
139,5,72
139,115,17
142,4,101
139,126,17
143,142,372
133,15,15
136,15,24
137,7,46
134,24,22
137,14,20
138,6,51
137,6,47
134,22,18
139,130,34
140,126,27
140,135,85
139,124,22
137,22,22
138,23,28
140,16,32
136,112,19
139,133,50
177,21,64
178,161,77
174,130,8
175,19,149
173,32,85
178,23,24
179,157,21
168,50,94
156,154,346
169,129,125
154,58,67
164,37,199
141,114,21
167,25,280
167,24,265
176,21,92
167,6,267
147,61,30
148,12,36
144,10,28
121,1,198
138,137,285
111,5,38
97,53,8
165,119,165
144,1,378
170,135,132
169,67,34
166,93,81
159,96,144
162,73,152
173,11,481
174,11,484
163,75,133
168,87,27
165,75,110
170,100,16
168,99,34
175,152,102
167,68,69
168,105,61
157,34,78
153,5,123
165,35,217
165,130,212
159,137,94
166,87,75
171,20,286
160,123,142
153,152,583
146,129,25
170,161,467
171,19,320
172,144,147
172,29,113
172,40,47
154,150,170
162,122,181
135,24,15
152,26,58
166,4,368
81,57,9
101,55,10
103,3,68
129,51,16
144,38,25
155,118,58
152,75,54
156,77,99
157,119,100
152,87,51
159,72,155
97,97,3429
169,13,426
157,83,134
163,143,163
109,40,7
139,4,98
164,86,109
126,3,104
125,124,217
88,72,12
169,42,100
146,106,31
170,5,632
163,132,206
160,135,98
169,147,293
167,86,35
149,4,131
178,168,214
172,25,167
165,128,179
179,169,153
168,54,68
163,107,150
164,57,158
165,60,121
173,29,91
122,12,16
166,56,109
144,16,25
166,116,133
173,136,42
174,34,42
175,141,23
139,75,15
168,36,188
166,49,138
173,37,38
106,2,76
143,141,220
161,103,172
155,97,98
161,105,164
159,78,153
118,48,8
162,36,155
162,38,196
165,47,162
171,52,28
171,135,88
168,133,189
163,99,143
158,115,107
169,48,76
172,20,254
174,123,7
149,26,45
162,88,143
166,118,151
161,42,178
162,60,139
167,64,69
131,80,25
171,54,21
159,116,124
167,16,202
167,121,133
171,143,175
162,40,189
83,30,5
80,53,5
80,27,11
74,74,2226
71,71,2127
77,51,5
79,55,6
79,29,6
82,25,6
82,31,8
83,53,9
164,146,171
163,121,189
160,91,165
158,45,124
143,93,25
159,50,121
77,34,4
75,75,2246
38,0,6797
45,42,11
131,87,14
156,30,59
148,102,31
156,127,53
157,33,56
160,2,384
158,127,83
160,158,389
129,126,125
126,102,25
129,127,130
136,23,18
130,4,83
163,137,180
155,43,82
160,19,101
158,68,135
161,113,165
164,34,206
161,45,160
138,47,14
152,110,44
138,9,34
130,81,17
136,119,28
165,146,223
161,38,153
156,42,76
165,36,170
167,145,300
156,116,58
134,49,16
159,42,151
91,28,10
94,1,117
171,130,46
172,16,292
166,16,177
167,15,198
159,95,152
169,45,86
120,20,11
162,145,99
163,120,177
161,144,97
168,149,300
168,23,272
163,128,201
167,14,259
166,151,191
162,116,185
159,44,139
165,141,216
106,1,146
132,1,278
139,45,25
150,1,476
154,153,581
144,72,17
143,17,28
141,47,22
165,147,236
156,44,55
161,21,113
153,137,33
153,115,58
163,16,132
158,90,146
166,148,202
124,1,242
123,122,201
168,21,291
29,1,12
162,117,190
167,18,254
151,134,40
162,118,172
158,95,145
169,149,310
173,135,43
167,50,122
171,50,27
174,23,137
176,155,73
166,125,177
159,154,198
173,18,244
171,124,47
169,121,92
171,129,63
169,101,32
180,21,7
168,151,249
157,113,111
163,34,207
168,129,156
159,86,146
161,73,148
159,111,143
161,110,129
158,51,93
166,146,216
169,118,67
160,76,181
68,60,10
70,63,12
160,88,157
96,2,77
91,63,16
173,19,258
171,119,24
158,123,97
153,106,48
57,1,52
57,10,9
160,44,161
132,44,17
167,132,197
54,1,58
150,34,37
50,45,4
70,14,8
71,1,82
156,45,103
164,108,176
156,4,171
119,28,12
122,119,82
164,157,195
154,73,72
141,140,334
126,6,61
159,109,128
157,114,103
161,99,178
160,52,150
167,47,107
160,48,137
154,71,81
73,13,10
74,61,7
20,0,795
83,73,11
75,47,6
19,0,727
22,0,1538
22,21,7
118,95,17
122,6,34
113,91,16
116,105,16
120,6,33
121,2,118
112,90,6
115,2,100
110,17,23
116,114,100
116,1,176
110,13,18
114,2,105
155,3,250
157,67,128
151,78,40
162,87,160
165,131,216
163,10,168
39,0,7254
106,12,13
108,98,11
154,44,61
151,130,52
110,11,14
118,117,209
94,19,6
95,15,8
139,129,32
151,139,46
150,12,37
146,69,18
116,103,16
160,60,153
149,101,27
153,81,59
161,29,145
89,74,13
156,11,70
154,144,58
165,154,247
167,60,74
167,107,79
160,83,154
164,79,122
169,12,389
27,5,6
28,1,22
30,30,513
30,29,19
29,28,15
29,3,3
23,0,1583
158,11,84
163,148,130
166,157,297
163,104,149
162,89,147
97,2,68
126,122,77
159,104,160
156,17,56
158,143,54
166,162,388
167,125,143
160,35,122
155,14,34
159,119,119
168,31,190
171,24,229
169,31,189
166,140,220
170,31,156
166,30,194
166,139,211
171,30,154
158,131,73
141,134,60
140,133,55
128,7,35
142,8,43
145,134,31
151,140,64
165,138,231
164,139,187
166,31,211
162,135,151
156,23,73
155,21,56
154,133,50
155,136,64
164,137,200
124,61,13
157,134,67
157,23,65
158,130,96
167,30,230
145,2,212
146,141,87
146,2,193
145,143,214
147,141,72
78,3,48
158,61,150
163,87,119
181,164,8
166,103,111
175,159,182
164,107,175
126,125,254
123,1,210
164,84,128
157,93,113
158,100,131
122,116,37
168,81,35
155,103,88
162,104,154
152,103,40
160,53,155
161,52,150
160,109,138
143,130,20
132,113,19
106,17,7
155,58,75
139,81,22
163,139,174
165,11,224
166,5,315
159,145,58
157,1,631
150,118,48
146,67,18
161,138,132
162,136,136
159,22,90
158,102,145
164,14,148
148,114,39
61,40,6
150,50,27
101,29,12
159,26,83
112,27,13
156,65,103
159,130,107
103,15,8
79,75,27
81,80,124
132,27,17
93,89,33
85,79,16
86,85,105
169,100,28
171,56,23
168,94,48
167,103,68
164,69,142
162,98,150
149,97,43
154,48,68
172,19,309
170,43,77
160,68,159
164,20,207
164,65,131
168,97,39
163,96,136
150,23,38
164,138,196
172,153,295
167,71,53
161,34,133
127,52,16
163,42,224
176,150,38
179,168,98
157,86,103
166,130,211
165,86,110
171,45,37
102,48,14
113,101,10
165,120,159
70,4,18
70,69,78
171,152,329
173,23,182
158,83,137
160,87,157
165,95,99
164,76,140
151,81,41
87,5,22
162,111,159
177,155,57
177,22,55
176,26,43
152,131,55
167,131,198
89,76,12
178,157,32
179,36,3
182,174,25
170,123,43
168,51,89
176,27,42
83,8,6
38,38,953
144,78,30
141,77,20
141,63,24
139,64,17
137,72,17
147,1,448
133,74,15
137,130,46
84,82,39
84,83,123
75,18,6
79,78,89
165,14,172
162,129,145
43,1,42
149,36,31
166,34,245
172,37,60
164,109,177
165,108,144
127,72,17
158,35,105
153,26,50
158,124,78
159,125,106
172,35,65
170,134,96
168,132,177
170,36,117
168,106,57
166,64,81
165,103,95
172,36,70
174,138,34
176,37,7
165,57,139
171,62,13
173,38,30
169,28,214
169,36,157
165,136,230
163,32,170
174,38,21
172,137,80
163,106,173
152,68,58
152,83,47
161,2,422
159,138,88
125,30,8
163,159,254
145,74,23
160,127,123
158,92,134
161,132,124
131,97,18
69,67,40
67,67,1891
172,32,101
175,143,29
165,106,109
170,122,59
170,48,54
160,33,116
168,120,101
161,116,195
147,23,24
148,125,39
158,149,117
169,20,297
148,71,41
164,22,172
92,91,120
149,77,29
167,70,57
170,75,23
169,91,24
77,2,43
162,37,191
167,116,107
163,51,170
82,81,104
73,2,34
121,119,107
104,41,11
139,105,19
168,65,46
168,93,37
175,161,250
157,38,101
166,112,106
173,152,268
163,71,146
170,55,25
168,114,63
168,55,70
166,91,86
171,162,541
166,53,111
164,50,173
178,162,56
170,94,17
170,133,102
168,77,32
168,53,82
169,132,144
169,75,24
170,163,517
168,113,53
177,16,98
173,56,11
165,110,131
174,18,208
167,54,91
163,113,203
150,54,38
171,151,311
153,100,68
128,3,126
129,1,269
116,2,108
159,45,143
183,2,155
168,44,116
164,114,194
163,122,181
69,47,6
150,42,38
153,55,63
160,31,105
153,90,69
159,16,64
158,121,99
155,82,76
164,89,125
167,114,90
161,159,471
138,17,27
151,147,142
139,99,29
139,118,21
137,45,20
143,94,24
80,29,10
164,129,207
137,2,161
152,11,66
155,64,82
154,96,66
156,69,112
125,94,9
124,29,18
155,66,92
159,10,104
165,162,512
164,10,204
174,31,61
173,41,31
163,76,137
172,134,64
158,80,140
125,25,18
128,127,244
125,32,14
125,17,16
125,114,22
122,10,15
124,107,20
154,132,50
166,131,205
165,53,134
161,147,78
168,16,206
140,137,141
168,108,47
173,28,106
160,55,151
167,38,180
170,141,191
168,104,57
174,142,53
166,12,245
171,36,88
166,60,93
152,88,59
135,27,25
155,37,58
168,63,42
141,136,68
168,41,120
170,37,122
163,27,164
166,154,309
161,128,160
159,63,167
165,105,123
162,53,178
169,115,42
128,57,15
170,157,413
167,3,713
129,73,8
117,112,39
120,114,49
157,64,119
177,37,6
145,3,177
168,32,216
171,40,67
175,158,148
120,41,8
133,132,284
123,91,11
163,123,175
142,135,51
132,2,138
137,1,304
128,126,145
163,118,200
164,159,223
129,125,88
158,36,100
166,47,165
166,50,126
172,143,119
166,92,82
171,149,273
112,1,170
111,106,36
107,26,11
115,4,61
115,112,82
162,159,353
172,148,206
175,16,201
173,26,121
169,64,33
174,28,86
174,143,50
158,85,128
176,15,186
173,145,116
168,30,238
168,19,290
175,147,65
171,96,6
177,150,27
176,30,29
173,15,352
180,12,45
170,143,205
164,72,159
170,32,165
147,33,27
160,105,161
162,157,201
149,33,24
165,3,497
159,9,99
155,122,49
136,104,19
157,147,83
162,16,85
163,95,164
169,16,247
163,33,174
156,100,95
158,122,99
164,160,300
139,55,26
161,13,103
167,104,55
79,1,100
91,3,66
118,13,14
113,35,13
169,131,138
170,132,97
179,170,193
179,11,111
171,133,79
171,136,97
175,150,73
173,146,133
164,40,179
166,115,140
180,10,64
146,38,36
134,118,34
153,148,117
166,156,254
159,115,134
165,6,247
157,50,86
142,123,25
155,49,72
167,94,74
171,150,283
180,172,142
139,95,17
167,20,300
149,142,69
142,42,33
173,27,126
170,153,265
147,90,26
140,4,112
156,35,74
160,3,314
168,57,77
169,111,49
154,41,59
157,8,100
162,34,160
175,27,56
176,20,112
169,46,96
174,154,220
167,45,135
174,36,27
168,162,374
165,137,221
149,21,42
149,129,36
147,3,169
166,124,153
174,16,248
177,24,23
178,19,31
179,161,18
155,26,45
170,30,163
168,27,272
168,141,239
178,167,172
181,174,94
179,167,82
166,104,86
163,55,182
172,30,124
164,17,161
160,143,77
149,105,39
164,111,129
158,146,74
130,126,93
148,128,49
165,24,236
161,126,122
175,29,38
142,111,24
148,141,66
132,17,21
164,15,146
162,24,139
166,6,271
167,152,253
171,116,21
174,46,7
149,28,37
129,2,136
127,126,241
128,120,31
165,50,174
160,56,174
167,115,118
154,76,72
162,9,147
161,81,116
164,135,177
165,70,117
161,76,171
154,1,591
144,86,21
165,139,225
160,138,112
173,44,23
165,82,82
168,28,225
174,129,12
168,139,230
172,43,31
163,86,123
162,82,151
160,80,133
167,27,247
162,59,172
165,87,86
150,4,134
105,104,161
156,79,104
168,160,359
131,125,64
148,118,31
152,130,62
150,77,49
127,89,18
158,9,92
164,144,212
173,59,5
152,1,522
181,11,29
177,10,312
155,109,65
171,38,68
167,155,307
155,139,42
142,118,20
147,67,34
156,81,99
106,78,7
152,64,44
167,92,70
171,144,188
137,67,21
145,144,403
152,79,60
163,61,152
103,102,145
97,96,134
98,2,62
95,13,23
141,69,25
156,61,104
161,97,175
124,101,17
158,78,140
81,68,6
68,65,31
148,3,205
149,146,197
146,145,426
144,61,28
142,70,16
142,64,18
149,5,99
151,3,227
148,1,453
175,154,141
159,97,140
161,108,149
126,83,18
128,121,28
128,122,53
130,1,257
125,80,17
126,5,69
129,7,44
127,108,23
165,107,136
168,85,33
170,22,298
98,96,62
164,47,163
130,129,282
158,79,131
165,157,237
164,46,153
160,89,138
167,87,63
169,92,16
170,80,17
168,48,91
157,87,136
156,64,101
164,26,202
162,72,157
161,89,160
159,61,145
161,72,165
152,78,55
182,176,63
157,102,113
151,84,59
151,69,35
170,4,830
168,152,221
166,59,97
184,2,39
172,161,499
171,155,296
160,34,113
161,109,140
166,17,185
119,58,6
162,54,173
159,93,135
169,152,256
146,98,32
156,147,67
168,138,232
115,113,97
173,144,84
171,145,222
128,39,14
144,143,389
169,145,281
51,44,5
95,1,112
94,92,57
114,30,9
162,100,165
155,68,93
161,6,154
153,62,46
60,60,1618
157,54,105
163,26,184
106,26,7
120,53,17
41,23,3
37,37,910
35,28,3
49,28,2
162,68,162
174,19,187
158,104,118
100,17,12
163,2,472
161,11,118
153,132,54
149,29,29
155,24,67
167,109,76
127,98,12
74,1,97
158,105,122
164,106,167
163,14,128
157,52,107
159,17,76
164,29,190
154,27,49
159,55,110
162,123,185
55,41,8
171,90,11
163,66,156
171,111,16
142,98,15
171,43,48
158,34,84
158,117,118
170,17,261
158,119,119
161,35,149
164,124,196
152,42,55
152,43,67
154,110,74
131,116,27
136,115,30
138,65,19
122,82,10
89,18,13
84,5,23
95,16,7
149,80,34
153,74,64
162,71,161
155,75,79
155,29,62
156,149,85
130,49,14
135,123,25
128,55,21
126,54,13
113,82,10
111,75,12
113,112,181
80,76,22
75,70,12
77,15,5
78,44,6
161,64,154
157,81,146
153,83,86
94,74,11
89,4,38
87,1,117
88,87,124
93,15,19
165,77,94
163,88,139
93,6,14
151,59,52
162,91,154
160,63,162
164,91,132
163,4,268
163,100,152
165,102,107
166,97,78
145,51,34
133,102,13
155,52,63
103,69,15
114,1,184
163,102,149
180,11,53
162,8,163
180,27,3
167,95,49
163,74,159
169,120,62
164,118,200
166,51,149
161,19,108
180,168,33
181,169,22
180,167,35
170,13,409
163,29,179
152,15,35
154,6,120
157,139,66
155,148,79
157,152,140
155,12,58
154,135,56
155,149,110
155,145,74
165,158,225
149,3,191
142,3,158
166,25,259
115,20,15
151,131,46
92,78,13
95,70,10
85,15,10
98,83,16
96,81,10
98,74,6
105,91,13
115,114,173
127,46,22
125,3,104
120,2,92
123,119,50
126,112,20
148,146,210
153,21,53
159,1,755
139,94,24
124,116,19
157,151,101
160,148,103
144,113,24
162,11,126
162,83,157
164,162,538
152,57,54
143,74,27
81,75,12
81,3,41
75,2,32
78,74,30
75,74,87
75,73,29
74,72,47
67,30,6
87,86,120
89,86,39
88,86,47
88,1,128
117,109,23
114,53,16
117,55,19
140,2,175
138,59,19
130,78,18
163,90,126
101,82,9
120,115,51
131,6,46
143,2,187
129,4,75
142,6,68
138,43,25
162,85,139
142,47,12
108,1,163
173,101,3
101,100,129
166,78,73
103,1,151
102,3,55
104,3,65
98,86,11
104,101,69
100,88,18
164,75,128
146,87,23
162,86,155
147,80,31
107,15,11
133,52,22
167,142,290
154,126,42
135,25,18
140,24,18
168,140,251
158,10,76
166,19,228
176,153,78
174,140,38
159,147,87
170,137,141
170,20,308
176,157,119
175,157,121
123,2,138
155,23,51
173,62,4
153,43,50
164,105,137
162,49,185
168,146,286
122,33,7
129,5,48
125,115,18
125,92,15
129,128,240
140,5,68
122,72,8
119,78,15
166,86,74
174,20,202
125,93,14
161,83,153
175,155,136
146,60,25
164,83,96
169,51,60
170,51,36
108,3,67
145,50,33
149,20,34
152,72,51
140,82,31
174,22,131
169,22,323
177,154,39
175,153,138
169,116,49
158,111,133
157,110,103
159,47,133
168,143,255
151,104,50
139,104,32
162,52,149
173,21,237
168,52,79
162,79,171
162,150,125
154,66,74
114,4,45
171,22,279
172,150,257
160,113,169
163,136,169
158,44,118
157,106,109
130,124,66
161,40,179
158,67,117
170,50,41
173,121,10
169,50,70
143,92,24
156,48,90
166,119,149
166,48,147
167,80,57
165,51,142
150,68,46
94,65,12
129,79,9
149,9,50
159,11,107
164,25,212
165,140,231
166,113,108
169,137,158
160,66,142
144,3,171
146,4,125
129,61,16
155,95,86
172,133,45
162,151,146
160,108,127
166,138,234
170,152,328
160,64,149
162,56,178
158,54,137
155,107,72
154,74,89
155,10,80
153,73,61
157,51,81
154,98,84
151,76,52
161,146,75
155,56,107
154,81,72
168,107,52
153,52,51
152,55,54
143,135,43
131,122,31
132,130,149
127,15,15
168,117,87
143,134,52
126,51,14
134,80,23
155,38,73
148,83,25
119,2,116
115,12,7
121,103,14
111,72,10
114,12,16
118,1,183
138,22,19
134,70,24
133,64,16
143,132,37
149,6,67
151,128,39
149,143,82
155,25,68
148,6,76
146,43,36
150,143,78
161,51,146
164,59,127
85,56,8
119,1,186
142,53,25
166,111,127
93,61,8
145,88,20
149,79,43
131,69,17
85,66,10
96,91,27
96,1,129
96,3,59
90,1,112
91,89,49
94,93,122
95,94,119
141,2,158
153,48,60
109,108,180
107,106,152
99,32,7
160,136,108
131,128,97
136,93,29
169,38,139
139,6,45
154,83,78
156,72,100
164,128,199
159,84,162
110,109,173
174,42,10
175,137,10
169,138,201
167,75,46
166,43,165
174,136,34
159,89,148
161,36,145
135,99,16
157,25,92
159,28,99
157,18,84
157,71,129
156,63,98
167,58,76
161,71,162
177,161,107
124,102,11
172,151,257
160,82,151
183,179,45
172,11,516
184,180,9
165,161,325
118,86,8
111,1,161
122,107,21
136,94,21
153,40,59
164,78,141
164,150,159
160,5,169
147,11,34
156,93,90
161,1,831
170,8,534
168,13,323
149,73,37
97,82,14
95,65,7
154,3,242
169,19,327
152,134,36
167,29,230
162,99,157
169,124,80
168,43,126
125,78,12
153,36,44
112,39,9
104,23,13
119,105,18
114,78,11
122,121,221
147,129,32
154,33,41
42,33,6
111,57,11
112,34,10
115,3,74
62,21,3
97,17,14
121,115,45
171,80,4
156,56,91
75,49,5
154,142,52
149,8,47
151,126,27
156,94,106
158,60,137
146,42,34
153,58,64
162,55,137
136,19,33
124,46,20
143,53,28
150,124,28
140,60,21
99,86,13
98,85,10
154,79,61
165,118,160
168,49,103
168,148,274
164,9,211
167,140,263
173,141,61
152,120,52
160,26,117
151,34,30
164,145,191
165,18,194
160,141,92
158,16,43
146,93,32
147,76,25
131,61,13
58,22,5
126,99,16
139,66,18
153,85,56
164,141,210
167,62,58
161,55,169
99,24,6
100,80,10
103,99,52
108,106,83
122,3,81
117,110,29
116,7,23
156,90,102
157,91,130
131,65,15
160,81,147
156,47,88
162,77,137
167,108,75
140,18,23
138,113,21
122,110,13
123,120,81
166,40,149
167,56,72
168,79,33
163,153,197
165,81,89
134,43,15
153,29,39
145,142,189
144,66,27
80,38,5
83,48,10
94,11,14
142,67,17
70,3,27
64,9,4
145,87,29
143,98,27
142,43,22
144,58,28
100,49,7
145,104,20
158,88,144
90,34,10
83,52,8
86,27,10
86,56,12
127,26,16
156,6,108
140,101,19
156,131,53
164,156,201
157,65,118
159,121,118
131,62,13
117,74,6
145,27,23
56,41,6
145,120,32
156,139,65
162,158,253
150,126,40
140,43,27
147,6,68
147,9,60
145,6,70
146,140,70
144,137,55
163,151,164
158,43,127
146,16,34
158,22,83
163,146,129
168,15,254
159,127,103
159,126,115
161,124,165
156,115,79
155,124,53
156,31,60
160,101,142
167,39,173
165,104,120
109,3,60
108,2,74
103,25,13
161,88,141
161,69,153
161,92,177
109,107,94
160,72,165
105,99,24
106,3,63
108,107,157
111,108,70
114,113,179
163,64,159
128,92,17
155,7,70
139,98,17
143,42,34
142,94,30
150,148,235
160,65,167
160,11,109
131,20,27
161,155,153
162,13,127
140,117,26
144,2,205
161,31,152
162,31,152
162,134,159
160,99,156
159,54,133
167,34,201
184,181,24
167,135,219
161,32,134
161,145,74
161,54,169
173,14,393
158,116,132
187,0,2027
187,187,369
137,116,24
136,134,169
122,99,12
124,7,30
91,69,8
125,10,16
92,1,102
127,5,59
156,133,51
114,7,28
156,22,50
148,73,46
99,98,132
161,152,155
150,133,34
155,60,83
133,90,9
80,1,109
97,95,65
159,21,104
164,7,169
164,23,202
160,30,116
150,5,98
147,19,26
150,131,40
151,7,72
155,4,171
148,8,47
163,9,147
165,9,224
151,120,36
156,144,62
165,156,243
151,42,40
153,118,60
174,35,41
170,131,98
170,33,122
174,41,11
151,148,207
158,21,88
158,150,108
148,145,199
48,46,19
98,11,10
99,1,158
150,91,42
133,86,14
132,86,17
146,91,33
104,4,51
103,4,50
162,107,168
156,113,82
160,14,81
158,5,151
152,6,84
151,145,77
150,7,69
149,126,45
131,124,46
128,12,12
132,131,283
130,113,21
134,1,304
145,137,54
142,134,47
143,4,101
146,119,30
138,132,65
147,17,36
159,41,142
145,114,25
155,137,55
156,150,94
144,25,30
142,109,26
135,95,19
142,108,27
118,116,96
117,114,77
152,118,49
150,51,42
148,88,32
167,12,297
158,101,110
166,18,220
144,19,37
130,127,115
144,12,32
133,129,70
144,5,79
142,5,89
145,138,58
144,122,29
150,10,50
152,124,46
154,29,57
151,60,53
152,121,35
143,27,31
164,19,180
165,69,99
162,95,161
171,55,34
176,112,3
180,9,92
160,28,115
176,160,144
176,16,146
154,106,71
174,145,73
173,61,3
176,152,61
159,24,90
31,1,30
51,17,4
163,140,168
172,38,49
166,37,193
48,48,1178
46,11,2
48,1,46
61,60,69
153,35,49
163,133,183
167,37,194
90,52,6
91,5,23
172,28,117
50,50,1154
147,119,29
39,33,7
158,2,352
156,1,621
164,28,186
164,55,180
177,26,28
183,5,28
169,146,265
159,112,139
174,147,94
171,147,225
176,22,80
159,110,181
166,137,246
154,54,70
152,50,56
152,109,52
154,103,54
156,52,106
120,29,14
116,113,86
116,3,89
126,4,67
123,7,36
118,21,17
164,161,470
155,134,65
115,108,26
151,43,49
160,134,102
128,33,18
154,53,72
153,51,49
112,4,58
111,19,18
164,113,179
160,46,159
157,43,103
59,33,10
138,85,14
147,140,51
158,57,136
133,42,15
160,18,113
159,150,116
159,38,117
150,8,57
158,33,78
158,125,100
157,69,124
146,7,71
151,111,30
180,19,13
162,27,134
43,42,41
176,144,17
147,95,34
152,33,39
152,48,46
159,34,101
162,90,167
164,87,116
108,93,16
96,92,38
157,73,122
145,60,36
164,99,130
154,86,80
181,172,52
182,9,17
116,107,23
120,9,22
139,114,31
155,5,111
141,90,23
144,51,27
149,44,44
138,131,41
139,132,46
156,49,71
158,108,103
156,103,67
156,76,106
77,71,19
180,171,105
155,79,95
122,63,16
153,102,61
164,158,186
160,110,145
156,78,92
155,100,78
172,17,254
180,170,62
163,50,190
152,51,42
155,150,111
162,113,189
164,32,181
159,113,133
157,115,90
164,41,197
164,36,186
154,28,46
159,120,127
158,46,103
161,43,151
161,46,158
165,127,180
163,35,178
160,8,119
162,131,174
144,138,79
137,15,18
163,38,211
137,135,191
136,10,36
139,12,21
138,126,26
132,126,37
158,39,123
158,47,130
151,38,36
149,113,39
152,9,65
166,152,235
148,9,45
155,151,178
157,136,76
31,29,3
159,51,104
106,19,16
113,1,185
108,8,18
99,31,8
49,48,56
156,3,269
83,80,44
64,1,69
87,25,9
95,2,56
88,4,30
82,10,6
80,20,4
74,32,4
86,66,5
89,5,24
86,18,11
88,2,48
89,87,57
88,17,14
88,70,8
83,77,21
79,42,7
57,54,19
59,48,6
63,61,41
56,38,4
65,63,42
120,119,206
115,33,13
131,126,74
131,7,38
127,121,47
120,116,69
108,11,8
106,86,7
102,18,12
72,1,105
92,12,12
131,103,16
137,119,27
146,143,170
142,139,150
115,71,12
120,19,15
138,11,18
92,43,4
62,61,73
59,50,4
60,52,12
96,93,60
76,41,5
95,62,10
101,96,33
97,93,43
101,88,10
95,85,7
103,101,73
94,14,8
99,35,8
101,79,11
100,61,8
81,38,5
120,47,15
130,30,15
47,5,10
105,3,50
123,111,12
120,60,13
112,17,17
111,107,39
125,15,25
87,36,11
122,18,15
109,54,7
70,42,3
93,53,7
116,33,12
122,20,17
110,76,16
111,34,11
102,75,11
86,40,8
121,83,13
112,84,9
130,125,51
94,10,9
115,30,11
97,1,161
93,9,11
109,84,12
112,88,7
117,35,11
120,1,202
106,25,4
112,29,9
148,137,43
144,7,60
152,149,217
132,95,11
150,81,36
138,95,20
89,75,12
152,112,39
97,89,11
111,74,12
73,21,4
142,125,36
127,84,16
123,39,8
100,99,148
53,44,10
58,1,67
59,57,36
60,2,28
97,54,8
100,94,24
96,55,9
146,82,30
147,39,18
144,8,52
113,37,12
112,45,12
51,49,21
110,43,8
148,26,41
60,10,5
128,36,12
146,39,37
147,27,27
145,109,27
63,2,19
71,3,37
87,69,12
160,104,143
173,131,25
131,51,16
147,113,29
154,9,71
166,143,221
150,120,37
142,30,18
120,30,12
155,133,67
138,42,22
162,148,115
164,66,111
101,75,9
125,35,15
107,74,13
127,120,38
124,110,20
135,105,24
149,109,35
103,66,13
69,1,77
133,19,23
138,115,32
104,52,10
106,75,9
115,102,18
109,11,13
121,71,15
118,85,10
122,54,10
60,56,20
63,41,8
77,19,14
83,22,9
90,61,12
106,103,84
136,63,16
133,114,17
47,45,21
89,28,12
115,11,10
140,55,19
136,43,17
155,93,66
167,81,65
166,144,254
128,106,15
91,90,92
112,3,94
118,2,93
150,21,50
114,48,6
148,126,30
64,20,12
132,13,21
147,128,37
144,30,17
125,2,130
148,107,38
162,6,156
160,13,95
181,7,75
182,178,193
164,152,147
159,65,139
159,49,141
165,49,154
126,7,23
125,7,25
123,3,94
119,15,12
121,17,17
125,108,24
123,115,37
167,99,61
168,101,40
170,53,44
163,69,149
112,111,170
167,100,64
136,31,22
161,107,144
154,141,55
152,135,43
153,136,44
152,44,48
165,148,183
148,106,33
146,90,26
94,16,11
84,57,8
164,120,180
31,23,3
45,22,3
36,36,710
35,12,4
39,39,1060
39,16,3
40,40,1060
39,19,2
39,22,3
36,35,36
36,20,5
122,106,17
144,90,26
146,54,23
23,23,239
24,24,310
45,21,3
154,61,62
87,35,7
144,99,21
157,154,278
165,159,227
164,11,188
161,9,119
110,104,31
102,7,18
103,96,22
88,82,10
89,80,6
119,116,87
111,3,65
61,4,20
162,154,143
139,3,158
133,7,49
168,8,330
157,55,138
181,6,119
145,89,33
101,3,65
91,33,14
166,79,75
96,8,12
95,7,15
156,83,130
131,129,145
124,118,41
131,4,78
123,121,102
118,108,18
116,88,17
136,4,95
133,2,140
130,19,14
132,128,80
130,7,41
136,129,41
132,7,50
128,87,14
101,99,71
131,101,15
134,2,165
97,29,12
177,158,58
73,36,7
100,70,8
164,70,102
162,15,90
148,95,34
160,145,67
155,78,92
115,43,12
163,149,116
111,90,14
37,1,28
108,66,7
107,81,18
109,94,12
106,22,13
102,83,11
112,108,53
116,101,17
143,45,18
140,23,27
156,136,70
158,20,89
158,138,79
158,154,195
171,21,301
163,21,167
147,125,38
152,65,46
147,63,32
126,32,20
148,143,99
179,14,32
73,4,18
149,13,37
147,143,119
141,36,26
112,55,11
107,21,7
36,4,7
76,1,104
123,32,14
155,20,63
172,27,158
170,118,31
175,45,6
171,131,53
170,46,49
162,115,188
167,128,167
154,104,52
158,99,134
167,7,310
161,5,164
163,25,165
163,105,137
161,61,154
141,41,20
138,96,29
123,74,18
47,1,40
162,19,137
149,114,40
178,141,4
113,9,12
156,152,190
138,14,17
137,9,40
110,84,12
149,2,256
74,71,34
106,93,22
120,15,11
104,39,11
102,2,80
103,95,15
86,83,43
69,46,6
95,8,13
58,54,15
83,46,11
184,182,60
119,101,15
87,45,13
116,115,206
90,69,13
89,65,11
109,1,158
76,38,10
72,42,7
116,63,16
132,100,14
116,71,19
88,56,5
87,40,8
87,67,9
114,83,18
103,80,11
101,78,2
93,19,9
93,90,49
83,82,117
52,31,2
55,20,2
21,21,165
22,22,292
20,20,116
33,33,504
90,42,8
136,96,23
72,58,7
164,18,165
109,58,10
185,184,27
162,21,139
178,20,35
172,63,7
149,68,38
151,55,36
168,164,520
143,86,29
152,126,39
141,72,26
142,91,26
152,73,71
161,4,216
165,79,120
53,18,3
149,111,32
145,36,27
155,16,52
141,76,28
159,146,82
144,24,22
145,119,34
