n,k,count
166,83,54
165,42,180
162,133,171
177,169,526
157,63,113
169,140,217
165,78,89
164,33,205
159,60,155
168,161,371
163,83,123
170,26,209
167,154,259
164,127,207
163,78,157
170,27,224
171,139,142
170,142,187
159,67,134
163,131,171
165,33,236
167,139,264
167,28,229
170,138,183
136,14,21
147,2,234
146,144,235
167,144,252
168,29,200
169,33,188
169,142,220
167,146,280
168,135,212
128,2,131
168,17,259
172,21,268
166,98,90
172,145,156
113,0,32517
142,142,8241
160,32,113
161,48,169
167,82,48
168,72,35
155,1,588
168,92,52
167,31,190
169,2,1121
163,116,185
165,111,136
164,53,128
64,0,12173
162,47,184
153,50,54
150,2,244
153,97,78
123,75,10
163,125,197
161,47,182
166,126,186
166,33,221
167,33,191
165,38,213
172,130,37
139,9,42
174,173,6003
166,161,308
160,36,137
167,67,57
171,70,11
167,120,155
179,171,241
161,115,187
156,107,91
174,1,6104
165,97,118
158,144,63
156,71,88
158,74,145
152,108,54
152,89,50
160,75,145
124,4,82
166,159,264
162,58,172
158,98,129
163,31,185
165,134,204
166,134,205
162,65,160
171,2,1726
159,88,162
86,59,8
107,107,4148
110,110,4197
113,113,4835
102,102,3848
114,114,4650
115,1,173
118,118,4723
106,51,13
129,129,6250
65,0,12610
70,0,14509
69,0,14268
69,69,2039
70,70,2116
72,72,2062
81,81,2794
83,0,19228
80,80,2698
71,0,14622
68,0,14517
155,89,112
165,142,259
166,2,714
101,101,3543
100,100,3521
106,106,3995
162,45,203
166,29,240
130,28,18
26,0,2402
24,0,1928
42,0,7667
52,0,9991
54,0,10139
55,22,5
153,87,56
164,149,125
164,88,119
161,106,144
143,1,419
161,65,164
168,37,170
157,24,67
66,0,12883
175,1,7741
163,37,186
163,126,188
167,32,229
123,108,25
127,102,13
35,1,35
32,0,3825
34,0,4406
34,1,18
131,9,35
135,135,7148
129,120,27
106,70,8
48,0,8990
57,0,10765
47,47,1059
47,0,8219
36,0,5531
41,0,7587
35,35,677
32,32,568
35,0,4724
43,0,7664
44,0,7304
46,0,7740
58,0,10674
171,25,197
170,125,51
165,63,120
152,99,58
156,41,79
148,105,32
160,4,228
159,5,167
163,1,965
164,1,1057
165,155,239
164,95,110
167,5,316
161,60,178
164,131,220
155,51,72
158,50,98
90,0,20570
149,62,28
166,133,198
165,125,207
174,150,129
173,17,221
171,163,513
161,67,146
163,103,145
154,49,51
147,52,25
169,34,205
173,137,41
167,35,200
161,28,135
163,30,185
164,134,210
165,27,235
156,155,581
157,156,640
149,16,44
158,153,173
159,2,381
47,36,7
61,0,11908
51,0,10027
168,2,942
147,4,146
145,1,410
160,112,155
164,122,171
157,76,126
48,18,3
59,0,11013
168,3,815
74,0,15600
183,182,751
64,15,4
125,125,5682
95,82,15
