GeneID,Exp_leaf,Exp_bud
MgIM767.10G127000,45229.3943564084,907.088847166846
MgIM767.13G003200,36211.9788717493,7228.27164693624
MgIM767.09G049300,14024.9558278362,751.50858864301
MgIM767.04G139300,13172.0900897562,1671.12237924173
MgIM767.06G075100,10614.0573211465,1408.07768518508
MgIM767.13G086500,10408.8830375794,4.58660474163038
MgIM767.12G130200,9880.06362961872,84.0303319496587
MgIM767.08G011600,9659.05070567215,125.147441611262
MgIM767.08G117700,9320.81056434496,1492.48364347258
MgIM767.08G195100,9192.87685464663,1901.83471146674
MgIM767.08G042100,8777.46515318641,2522.30637924555
MgIM767.03G128800,8507.78296705316,1785.55323881413
MgIM767.08G181500,8448.34424541413,1687.93978259762
MgIM767.13G177800,7801.42657153173,1219.60672364697
MgIM767.13G150600,7622.63044359427,1624.21976410558
MgIM767.02G061400,7257.25720764724,2043.62486740292
MgIM767.13G118700,6803.91907122476,1095.34467766236
MgIM767.02G017600,6256.87607238418,1191.97997650002
MgIM767.13G185200,6083.00833977534,1153.55556643221
MgIM767.08G232700,6003.67075685041,332.070440544497
MgIM767.02G070300,5742.53472043451,212.853322186833
MgIM767.10G126900,5299.00181581975,727.512189077909
MgIM767.08G090800,5187.17121849387,872.14076628518
MgIM767.04G155400,5120.7309640193,2214.39136124708
MgIM767.04G211100,5076.48468622538,1317.59713851956
MgIM767.04G037000,5035.8890289822,911.399799283172
MgIM767.11G017400,4786.79697060649,369.859449817841
MgIM767.05G112200,4750.71122931187,486.212242650506
MgIM767.09G107100,4494.72949314434,115.07815708982
MgIM767.05G056400,4167.20936590083,2.93522614037764
MgIM767.04G007900,4031.99646684836,1378.24798190209
MgIM767.12G121000,3550.146224542,491.46460182561
MgIM767.08G184500,3517.89327001222,621.920072352127
MgIM767.12G177300,3425.18185959854,723.99720275766
MgIM767.08G146500,3317.93458893405,1114.15584693686
MgIM767.14G212200,3308.00194242395,1169.66766839332
MgIM767.08G070700,3238.13153739488,132.009939798699
MgIM767.08G158300,3211.26422895149,783.919468277046
MgIM767.02G172000,3192.33997069157,292.384249781595
MgIM767.06G172200,3173.69764930214,800.393846321599
MgIM767.12G170800,3153.71294380591,42.2073985115622
MgIM767.04G101100,3012.48033948091,10.6769021061668
MgIM767.08G137900,2937.09099191738,521.007940676449
MgIM767.10G113800,2898.20134078809,5356.73349522942
MgIM767.08G203200,2806.51465903548,425.568937547166
MgIM767.06G136700,2707.84797640818,309.943814881991
MgIM767.13G023500,2684.49196592849,408.710589921871
MgIM767.14G013200,2664.86096007277,326.553852786284
MgIM767.10G127100,2546.3861318845,155.380528705129
MgIM767.01G003600,2532.3814167541,364.475842469274
MgIM767.14G221200,2472.26191683661,541.436987957887
MgIM767.01G003200,2399.11988370143,3040.67542279686
MgIM767.07G030400,2333.06374806251,490.909354417517
MgIM767.04G060500,2329.30997360016,279.025320518666
MgIM767.11G070800,2328.97336262753,447.02767044369
MgIM767.13G060200,2266.62313742237,477.586029378335
MgIM767.14G224600,2255.96482234551,455.008900692308
MgIM767.02G016700,2211.37958225063,597.583678548659
MgIM767.04G048700,2138.45473029532,445.206187428309
MgIM767.02G150900,2118.25768635798,448.605569062921
MgIM767.08G110200,2102.49534907792,512.346143988419
MgIM767.14G122500,1817.28556490605,761.706396877365
MgIM767.13G060300,1812.84104346755,139.558179840125
MgIM767.14G098400,1799.61780726417,218.828241690399
MgIM767.10G126800,1762.09366266859,385.92217042194
MgIM767.07G039100,1740.95251053223,0.110909801442441
MgIM767.14G283500,1737.61476333949,392.344826566511
MgIM767.10G156900,1680.5396163268,130.710354269821
MgIM767.03G008400,1677.00946398305,163.418778508007
MgIM767.04G093800,1661.256701848,214.073436021299
MgIM767.04G201200,1650.04000767073,2878.224062741
MgIM767.10G114500,1643.60483081225,3347.9578418155
MgIM767.04G190700,1618.25298231359,3208.78888078019
MgIM767.07G001900,1598.95778796099,363.162069964056
MgIM767.02G181600,1566.45276586034,155.876545756081
MgIM767.12G087300,1542.08489473965,940.65854225891
MgIM767.10G086400,1525.11873063772,518.796423805803
MgIM767.08G165400,1519.54035787964,1341.62393542917
MgIM767.08G105000,1493.99143251879,88.5590045259412
MgIM767.06G053300,1490.15605099902,27.2721722716312
